指标,数值,数据来源,年份
三甲医院门诊患者平均就诊时间,177.2分钟,上海公立三甲医院门诊患者就诊时间调查报告（2017）,2017
排队时间占比,75%,上海公立三甲医院门诊患者就诊时间调查报告（2017）,2017
排队挂号平均耗时,28.4分钟,上海公立三甲医院门诊患者就诊时间调查报告（2017）,2017
排队候诊平均耗时,37.2分钟,上海公立三甲医院门诊患者就诊时间调查报告（2017）,2017
实际诊疗平均耗时,8.2分钟,上海公立三甲医院门诊患者就诊时间调查报告（2017）,2017
排队缴费平均耗时,32.6分钟,上海公立三甲医院门诊患者就诊时间调查报告（2017）,2017
排队检查平均耗时,21.7分钟,上海公立三甲医院门诊患者就诊时间调查报告（2017）,2017
从到达医院到看上医生花费1小时以上比例,37.1%,北京大学社会学系医患关系现状调查,2018
认为候诊时间很长或较长的患者比例（三甲医院）,33.12%,北京大学社会学系医患关系现状调查,2018
慢病患者服药依从性良好比例,75.4%,慢病患者就医行为与用药依从性研究,2024
慢病患者服药依从性较差比例,24.6%,慢病患者就医行为与用药依从性研究,2024
约50%高血压患者在诊断1年内停药,50%,NEJM研究,2020
每日服药≥3次的患者依从性比每日1次者低,30%,NEJM研究,2020
合并抑郁症的慢病患者依从性降低,40%,JAMA Psychiatry,2020
因费用中断治疗的患者比例（全球）,30%,WHO统计,2020
慢病患者平均每年就医次数,5.6次,慢病患者就医行为与用药依从性研究,2024
选择二级以上医院就医的慢病患者比例,72.1%,慢病患者就医行为与用药依从性研究,2024
选择基层医院就医的慢病患者比例,27.9%,慢病患者就医行为与用药依从性研究,2024
